,country,population,area
0,China,1433783686,9596961
1,India,1366417754,3287263
2,United States,329064917,9525067
3,Indonesia,270625568,1910931
4,Pakistan,216565318,907132
5,Brazil,211049527,8515767
6,Nigeria,200963599,923768
7,Bangladesh,163046161,147570
8,Russia,145872256,17098246
9,Mexico,127575529,1964375
10,Japan,126860301,377975
11,Ethiopia,112078730,1104300
12,Philippines,108116615,300000
13,Egypt,100388073,1002450
14,Vietnam,96462106,331212
15,Germany,83517045,357114
16,Turkey,83429615,783562
17,Iran,82913906,1648195
18,Thailand,69037513,513120
19,United Kingdom,67530172,242495
20,Italy,60550075,301339
21,South Africa,58558270,1221037
22,Tanzania,58005463,945087
23,Myanmar,54045420,676578
24,Kenya,52573973,580367
25,South Korea,51225308,100210
26,Colombia,50339443,1141748
27,Spain,46736776,505992
28,Argentina,44780677,2780400
29,Uganda,44269594,241550
30,Ukraine,43993638,603500
31,Algeria,43053054,2381741
32,Sudan,42813238,1861484
33,Iraq,39309783,438317
34,Afghanistan,38041754,652230
35,Poland,37887768,312696
36,Canada,37411047,9984670
37,Morocco,36471769,446550
38,Saudi Arabia,34268528,2149690
39,Uzbekistan,32981716,447400
40,Peru,32510453,1285216
41,Malaysia,31949777,330803
42,Angola,31825295,1246700
43,Mozambique,30366036,801590
44,Yemen,29161922,527968
45,Ghana,28833629,238533
46,Nepal,28608710,147181
47,Venezuela,28515829,916445
48,Madagascar,26969307,587041
49,North Korea,25666161,120540
50,Ivory Coast,25716544,322463
51,Cameroon,25876380,475442
52,Australia,25203198,7692024
53,Taiwan,23773876,36193
54,Niger,23310715,1267000
55,Sri Lanka,21323733,65610
56,Burkina Faso,20321378,274222
57,Mali,19658031,1240192
58,Romania,19364557,238397
59,Malawi,18628747,118484
60,Chile,18952038,756102
61,Kazakhstan,18551427,2724900
62,Zambia,17861030,752612
63,Guatemala,17581472,108889
64,Ecuador,17373662,276841
65,Netherlands,17097130,41850
66,Syria,17070135,185180
67,Cambodia,16486542,181035
68,Senegal,16296364,196722
69,Chad,15946876,1284000
70,Somalia,15442905,637657
71,Zimbabwe,14645468,390757
72,Guinea,12771246,245857
73,Rwanda,12626950,26338
74,Benin,11801151,114763
75,Tunisia,11694719,163610
76,Belgium,11539328,30528
77,Bolivia,11513100,1098581
78,Cuba,11333483,109884
79,Haiti,11263770,27750
80,South Sudan,11062113,644329
81,Burundi,10864245,27834
82,Dominican Republic,10738958,48671
83,Czech Republic,10689209,78865
84,Greece,10473455,131957
85,Portugal,10226187,92090
86,Jordan,10101694,89342
87,Azerbaijan,10047718,86600
88,Sweden,10036379,450295
89,United Arab Emirates,9770529,83600
90,Honduras,9746117,112492
91,Hungary,9684679,93028
92,Belarus,9452411,207600
93,Tajikistan,9321018,143100
94,Austria,8955102,83871
95,Papua New Guinea,8776109,462840
96,Serbia,8772235,88361
97,Switzerland,8591365,41284
98,Israel,8519377,20770
99,Togo,8082366,56785
100,Sierra Leone,7813215,71740
101,Laos,7169455,236800
102,Paraguay,7044636,406752
103,Bulgaria,7000119,111002
104,Lebanon,6855713,10452
105,Libya,6777452,1759540
106,Nicaragua,6545502,130373
107,El Salvador,6453553,21041
108,Kyrgyzstan,6415850,199951
109,Turkmenistan,5942089,488100
110,Singapore,5804337,716
111,Denmark,5771876,43094
112,Finland,5532156,338424
113,Slovakia,5457013,49037
114,Norway,5378857,323802
115,Costa Rica,5047561,51100
116,Oman,4974986,309500
117,Liberia,4937374,111369
118,Ireland,4882495,70273
119,New Zealand,4783063,270467
120,Central African Republic,4745185,622984
121,Mauritania,4525696,1030700
122,Panama,4246439,75417
123,Kuwait,4207083,17818
124,Croatia,4130304,56594
125,Moldova,4043263,33846
126,Georgia,3996765,69700
127,Eritrea,3497117,117600
128,Uruguay,3461734,176215
129,Bosnia and Herzegovina,3301000,51209
130,Mongolia,3225167,1564110
131,Armenia,2957731,29743
132,Jamaica,2948279,10991
133,Albania,2880917,28748
134,Qatar,2832067,11586
135,Lithuania,2759627,65300
136,Namibia,2494530,825615
137,Botswana,2303697,581730
138,Gabon,2172579,267668
139,Lesotho,2125268,30355
140,North Macedonia,2083459,25713
141,Slovenia,2078654,20273
142,Guinea-Bissau,1920922,36125
143,Latvia,1906743,64559
144,Bahrain,1641172,778
145,Trinidad and Tobago,1394973,5130
146,Equatorial Guinea,1355986,28051
147,Estonia,1325648,45227
148,East Timor,1293119,14919
149,Mauritius,1198575,2040
150,Cyprus,1179551,9251
151,Eswatini,1148130,17364
152,Djibouti,973560,23200
153,Fiji,889953,18272
154,Comoros,850886,1862
155,Guyana,782766,214969
156,Bhutan,763092,38394
157,Solomon Islands,669823,28896
158,Montenegro,627987,13812
159,Luxembourg,615729,2586
160,Suriname,581372,163820
161,Cape Verde,549935,4033
162,Maldives,530953,300
163,Malta,440372,316
164,Brunei,433285,5765
165,Belize,390353,22966
166,Iceland,339031,103000
167,Vanuatu,299882,12189
168,Barbados,287025,430
169,São Tomé and Príncipe,215056,964
170,Samoa,197097,2842
171,Saint Lucia,182790,616
172,Kiribati,117606,811
173,Grenada,112003,344
174,Tonga,110940,747
175,Saint Vincent and the Grenadines,110589,389
176,Seychelles,97739,452
177,Antigua and Barbuda,97118,442
178,Andorra,77142,468
179,Dominica,71808,751
180,Marshall Islands,58791,181
181,Saint Kitts and Nevis,52823,261
182,Liechtenstein,38019,160
183,San Marino,33860,61
184,Palau,18008,459
